Repository,Repository ID,Tool,Alert Number,Severity,Created At,Updated At,Resolved At,Reopened At,Resolved Reason,Secret Bypassed,Secret Type,Secret Provider,Secret Validity,GHSA ID,Ecosystem,Package,Dependency Scope,CodeQL Rule,Third Party Tool Rule,Teams (truncated at 20 values),Repository Visibility,Repository Topics,Repository Archived
wellmark-eng/mywellmark-member-portal-ui,1038131331,CodeQL,1,medium,2025-08-14 10:49:12 -0700,2025-08-14 10:49:12 -0700,,,,,,,,,,,,js/identity-replacement,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,CodeQL,3,high,2025-08-14 10:49:12 -0700,2025-08-14 10:49:12 -0700,,,,,,,,,,,,js/unvalidated-dynamic-method-call,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,CodeQL,6,high,2025-08-14 10:49:12 -0700,2025-08-14 10:49:12 -0700,,,,,,,,,,,,js/incomplete-hostname-regexp,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,CodeQL,5,high,2025-08-14 10:49:12 -0700,2025-08-14 10:49:12 -0700,,,,,,,,,,,,js/incomplete-hostname-regexp,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,CodeQL,2,high,2025-08-14 10:49:12 -0700,2025-08-14 10:49:12 -0700,,,,,,,,,,,,js/unvalidated-dynamic-method-call,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,CodeQL,7,high,2025-08-14 10:49:12 -0700,2025-08-14 10:49:12 -0700,,,,,,,,,,,,js/incomplete-hostname-regexp,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,CodeQL,10,medium,2025-08-14 10:49:12 -0700,2025-08-14 10:49:12 -0700,,,,,,,,,,,,js/overly-large-range,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,CodeQL,9,high,2025-08-14 10:49:12 -0700,2025-08-14 10:49:12 -0700,,,,,,,,,,,,js/incomplete-hostname-regexp,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,CodeQL,8,high,2025-08-14 10:49:12 -0700,2025-08-14 10:49:12 -0700,,,,,,,,,,,,js/incomplete-hostname-regexp,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,CodeQL,11,high,2025-08-14 10:49:12 -0700,2025-08-14 10:49:12 -0700,,,,,,,,,,,,js/incomplete-sanitization,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,CodeQL,4,high,2025-08-14 10:49:12 -0700,2025-08-14 10:49:12 -0700,,,,,,,,,,,,js/incomplete-hostname-regexp,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,CodeQL,12,medium,2025-08-14 10:49:12 -0700,2025-08-14 10:49:12 -0700,,,,,,,,,,,,js/prototype-polluting-assignment,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,CodeQL,17,medium,2025-08-14 10:49:12 -0700,2025-08-14 10:49:12 -0700,,,,,,,,,,,,js/functionality-from-untrusted-source,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,CodeQL,14,medium,2025-08-14 10:49:12 -0700,2025-08-14 10:49:12 -0700,,,,,,,,,,,,js/prototype-polluting-assignment,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,CodeQL,16,medium,2025-08-14 10:49:12 -0700,2025-08-14 10:49:12 -0700,,,,,,,,,,,,js/functionality-from-untrusted-source,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,CodeQL,13,medium,2025-08-14 10:49:12 -0700,2025-08-14 10:49:12 -0700,,,,,,,,,,,,js/prototype-polluting-assignment,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,CodeQL,15,medium,2025-08-14 10:49:12 -0700,2025-08-14 10:49:12 -0700,,,,,,,,,,,,js/functionality-from-untrusted-source,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,dependabot,1,moderate,2025-08-14 10:11:37 -0700,2025-08-14 10:42:08 -0700,2025-08-14 10:42:08 -0700,,fixed_or_revoked,,,,,GHSA-rv95-896h-c2vc,npm,express,RUNTIME,,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,dependabot,3,low,2025-08-14 10:11:37 -0700,2025-08-14 10:42:08 -0700,2025-08-14 10:42:08 -0700,,fixed_or_revoked,,,,,GHSA-qw6h-vgh9-j6wx,npm,express,RUNTIME,,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,dependabot,2,moderate,2025-08-14 10:11:37 -0700,2025-08-14 10:42:08 -0700,2025-08-14 10:42:08 -0700,,fixed_or_revoked,,,,,GHSA-4vvj-4cpr-p986,npm,webpack,RUNTIME,,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,dependabot,8,low,2025-08-14 10:42:08 -0700,2025-08-14 10:42:08 -0700,2025-08-14 10:42:08 -0700,,auto_dismissed,,,,,GHSA-xffm-g5w8-qvg7,npm,@eslint/plugin-kit,DEVELOPMENT,,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,dependabot,9,low,2025-08-14 10:42:09 -0700,2025-08-14 10:42:09 -0700,,,,,,,,GHSA-52f5-9888-hmc6,npm,tmp,DEVELOPMENT,,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,dependabot,6,low,2025-08-14 10:42:08 -0700,2025-08-14 10:42:08 -0700,2025-08-14 10:42:08 -0700,,auto_dismissed,,,,,GHSA-v6h2-p8h4-qcjw,npm,brace-expansion,DEVELOPMENT,,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,dependabot,4,moderate,2025-08-14 10:42:08 -0700,2025-08-14 10:42:08 -0700,,,,,,,,GHSA-c75v-2vq8-878f,npm,@angular/core,DEVELOPMENT,,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
wellmark-eng/mywellmark-member-portal-ui,1038131331,dependabot,7,critical,2025-08-14 10:42:08 -0700,2025-08-14 10:42:08 -0700,,,,,,,,GHSA-fjxv-7rqg-78g4,npm,form-data,DEVELOPMENT,,,"[""mywellmark_deployapprover"",""mywellmark_maintainer"",""mywellmark_user""]",internal,,false
